#RAW_ID,BASE_ID,NAME,TYPE,IS_OPTIONAL,MULT_OK,MIN_VER,TEXT_FMT
0xe5,0x65,TrackPlaneUID,u,0,0,3,Defo
0xe6,0x66,TrackPlaneType,u,0,0,3,Defo
0xe9,0x69,TrackJoinBlocks,m,1,0,3,Defo
0xed,0x6d,TrackJoinUID,u,0,1,3,Defo
0x6d80,0x2d80,ContentEncodings,m,1,0,1,Defo
0x6240,0x2240,ContentEncoding,m,0,1,1,Defo
0x5031,0x1031,ContentEncodingOrder,u,0,0,1,Defo
0x5032,0x1032,ContentEncodingScope,u,0,0,1,Defo
0x5033,0x1033,ContentEncodingType,u,0,0,1,Defo
0x5034,0x1034,ContentCompression,m,1,0,1,Defo
0x4254,0x254,ContentCompAlgo,u,0,0,1,Defo
0x4255,0x255,ContentCompSettings,b,1,0,1,Defo
0x5035,0x1035,ContentEncryption,m,1,0,1,Defo
0x47e1,0x7e1,ContentEncAlgo,u,0,0,1,Defo
0x47e2,0x7e2,ContentEncKeyID,b,1,0,1,Defo
0x47e7,0x7e7,ContentEncAESSettings,m,0,0,4,Defo
0x47e8,0x7e8,AESSettingsCipherMode,u,1,0,4,Defo
0x1c53bb6b,0xc53bb6b,Cues,m,1,0,1,Defo
0xbb,0x3b,CuePoint,m,0,1,1,Defo
0xb3,0x33,CueTime,u,0,0,1,Defo
0xb7,0x37,CueTrackPositions,m,0,1,1,Defo
0xf7,0x77,CueTrack,u,0,0,1,Defo
0xf1,0x71,CueClusterPosition,u,0,0,1,0x%x
0xf0,0x70,CueRelativePosition,u,1,0,4,Defo
0xb2,0x32,CueDuration,u,1,0,4,Defo
0x5378,0x1378,CueBlockNumber,u,1,0,1,Defo
0xea,0x6a,CueCodecState,u,0,0,1,Defo
0xdb,0x5b,CueReference,m,1,1,2,Defo
0x96,0x16,CueRefTime,u,0,0,2,Defo
0x1941a469,0x941a469,Attachments,m,1,0,1,Defo
0x61a7,0x21a7,AttachedFile,m,0,1,1,Defo
0x467e,0x67e,FileDescription,8,1,0,1,Defo
0x466e,0x66e,FileName,8,0,0,1,Defo
0x4660,0x660,FileMediaType,s,0,0,1,Defo
0x465c,0x65c,FileData,b,0,0,1,Defo
0x46ae,0x6ae,FileUID,u,0,0,1,Defo
0x1043a770,0x43a770,Chapters,m,1,0,1,Defo
0x45b9,0x5b9,EditionEntry,m,0,1,1,Defo
0x45bc,0x5bc,EditionUID,u,1,0,1,Defo
0x45bd,0x5bd,EditionFlagHidden,u,0,0,1,Defo
0x45db,0x5db,EditionFlagDefault,u,0,0,1,Defo
0x45dd,0x5dd,EditionFlagOrdered,u,0,0,1,Defo
0x4520,0x520,EditionDisplay,m,1,1,w,Defo
0x4521,0x521,EditionString,8,0,0,w,Defo
0x45e4,0x5e4,EditionLanguageIETF,s,1,1,w,Defo
0xb6,0x36,ChapterAtom,m,0,1,1,Defo
0x73c4,0x33c4,ChapterUID,u,0,0,1,Defo
0x5654,0x1654,ChapterStringUID,8,1,0,3,Defo
0x91,0x11,ChapterTimeStart,u,0,0,1,Defo
0x92,0x12,ChapterTimeEnd,u,1,0,1,Defo
0x98,0x18,ChapterFlagHidden,u,0,0,1,Defo
0x4598,0x598,ChapterFlagEnabled,u,0,0,1,Defo
0x6e67,0x2e67,ChapterSegmentUUID,b,1,0,1,Defo
